id,objective,theta0,theta1
0,4.63674368,2.85,2.282
1,3.927487435,2.74656,2.536352
2,3.340654164,2.60870016,2.741564672
3,2.843579751,2.481152886,2.929981064
4,2.422532276,2.363753819,3.103383745
5,2.065883507,2.255704973,3.262975458
6,1.763783741,2.1562618,3.409856303
7,1.507889772,2.064738893,3.545038653
8,1.291134478,1.980505434,3.669454248
9,1.107531648,1.902980846,3.78396062
10,0.95201065,1.831630794,3.889346999
11,0.820276403,1.765963499,3.986339758
12,0.708690751,1.705526351,4.075607417
13,0.614171991,1.64990279,4.157765249
14,0.534109762,1.598709432,4.233379527
15,0.466292955,1.551593428,4.302971417
16,0.408848647,1.508230033,4.367020582
17,0.360190378,1.468320366,4.425968476
18,0.318974332,1.43158935,4.480221397
19,0.284062232,1.397783818,4.530153282
20,0.254489895,1.366670767,4.576108283
21,0.229440612,1.338035751,4.618403146
22,0.208222586,1.311681404,4.657329385
23,0.190249832,1.287426079,4.693155299
24,0.17502599,1.265102598,4.726127817
25,0.162130616,1.244557096,4.756474201
26,0.151207573,1.225647965,4.784403611
27,0.141955198,1.208244873,4.810108552
28,0.134117961,1.19222787,4.833766192
29,0.127479421,1.17748656,4.855539593
30,0.121856238,1.163919339,4.875578826
31,0.117093114,1.151432695,4.894022011
32,0.113058503,1.139940564,4.910996267
33,0.109640982,1.129363737,4.926618589
34,0.106746167,1.119629314,4.940996653
35,0.10429411,1.1106702,4.954229559
36,0.102217092,1.102424645,4.966408516
37,0.100457751,1.094835817,4.977617465
38,0.0989675,1.08785141,4.987933665
39,0.097705181,1.081423284,4.997428219
40,0.096635932,1.075507133,5.006166568
41,0.095730223,1.070062181,5.014208941
42,0.094963041,1.065050899,5.02161077
43,0.094313199,1.060438746,5.028423072
44,0.09376275,1.056193933,5.034692801
45,0.093296491,1.052287204,5.040463169
46,0.092901546,1.04869163,5.04577395
47,0.092567007,1.04538243,5.050661748
48,0.092283635,1.042336795,5.055160251
49,0.092043605,1.039533733,5.059300466
50,0.091840287,1.036953924,5.063110928
51,0.091668067,1.034579587,5.066617902
52,0.091522187,1.032394357,5.069845559
53,0.09139862,1.030383172,5.072816145
54,0.091293952,1.028532171,5.075550136
55,0.091205292,1.026828594,5.078066375
56,0.091130193,1.025260701,5.080382205
57,0.091066581,1.023817684,5.082513588
58,0.091012698,1.022489598,5.084475215
59,0.090967056,1.021267289,5.086280605
60,0.090928395,1.020142333,5.087942203
